Sequence,Trial,Frame,Value
231027_S103_obj_08_grasp_18,trial_0,sub1_13,0.31
231027_S103_obj_08_grasp_18,trial_0,sub1_113,0.34
231027_S103_obj_08_grasp_18,trial_0,sub2_4,0.26
231027_S103_obj_08_grasp_18,trial_0,sub2_6,0.27
231027_S103_obj_08_grasp_18,trial_0,sub2_11,0.22
231027_S103_obj_08_grasp_18,trial_0,sub2_12,0.21
231027_S103_obj_08_grasp_18,trial_0,sub2_13,0.21
231027_S103_obj_08_grasp_18,trial_0,sub2_14,0.24
231027_S103_obj_08_grasp_18,trial_0,sub2_15,0.22
231027_S103_obj_08_grasp_18,trial_0,sub2_109,0.47
231027_S103_obj_08_grasp_18,trial_0,sub2_110,0.44
231027_S103_obj_08_grasp_18,trial_0,sub2_111,0.43
231027_S103_obj_08_grasp_18,trial_0,sub2_113,0.45
231027_S103_obj_08_grasp_18,trial_0,sub2_115,0.44
231027_S103_obj_08_grasp_18,trial_0,sub2_116,0.4
231027_S103_obj_08_grasp_18,trial_0,sub3_11,0.29
231027_S103_obj_08_grasp_18,trial_0,sub3_113,0.38
231027_S103_obj_11_grasp_9,trial_0,mas_4,0.13
231027_S103_obj_11_grasp_9,trial_0,mas_8,0.14
231027_S103_obj_11_grasp_9,trial_0,mas_16,0.14
231027_S103_obj_11_grasp_9,trial_0,mas_17,0.15
231027_S103_obj_11_grasp_9,trial_0,mas_18,0.16
231027_S103_obj_11_grasp_9,trial_0,mas_19,0.17
231027_S103_obj_11_grasp_9,trial_0,mas_20,0.15
231027_S103_obj_11_grasp_9,trial_0,mas_21,0.14
231027_S103_obj_11_grasp_9,trial_0,mas_32,0.23
231027_S103_obj_11_grasp_9,trial_0,mas_33,0.25
231027_S103_obj_11_grasp_9,trial_0,mas_34,0.26
231027_S103_obj_11_grasp_9,trial_0,mas_36,0.27
231027_S103_obj_11_grasp_9,trial_0,mas_37,0.28
231027_S103_obj_11_grasp_9,trial_0,mas_38,0.27
231027_S103_obj_11_grasp_9,trial_0,mas_39,0.27
231027_S103_obj_11_grasp_9,trial_0,mas_41,0.26
231027_S103_obj_11_grasp_9,trial_0,mas_45,0.25
231027_S103_obj_11_grasp_9,trial_0,mas_46,0.25
231027_S103_obj_11_grasp_9,trial_0,mas_48,0.26
231027_S103_obj_11_grasp_9,trial_0,mas_50,0.26
231027_S103_obj_11_grasp_9,trial_0,mas_51,0.27
231027_S103_obj_11_grasp_9,trial_0,mas_52,0.26
231027_S103_obj_11_grasp_9,trial_0,mas_53,0.24
231027_S103_obj_11_grasp_9,trial_0,mas_54,0.29
231027_S103_obj_11_grasp_9,trial_0,mas_55,0.26
231027_S103_obj_11_grasp_9,trial_0,mas_56,0.22
231027_S103_obj_11_grasp_9,trial_0,mas_57,0.21
231027_S103_obj_11_grasp_9,trial_0,mas_58,0.18
231027_S103_obj_11_grasp_9,trial_0,mas_59,0.18
231027_S103_obj_11_grasp_9,trial_0,mas_60,0.18
231027_S103_obj_11_grasp_9,trial_0,mas_64,0.21
231027_S103_obj_11_grasp_9,trial_0,mas_82,0.21
231027_S103_obj_11_grasp_9,trial_0,sub1_8,0.2
231027_S103_obj_11_grasp_9,trial_0,sub1_19,0.2
231027_S103_obj_11_grasp_9,trial_0,sub1_32,0.19
231027_S103_obj_11_grasp_9,trial_0,sub1_33,0.2
231027_S103_obj_11_grasp_9,trial_0,sub1_34,0.22
231027_S103_obj_11_grasp_9,trial_0,sub1_35,0.22
231027_S103_obj_11_grasp_9,trial_0,sub1_36,0.23
231027_S103_obj_11_grasp_9,trial_0,sub1_37,0.23
231027_S103_obj_11_grasp_9,trial_0,sub1_38,0.23
231027_S103_obj_11_grasp_9,trial_0,sub1_39,0.22
231027_S103_obj_11_grasp_9,trial_0,sub1_40,0.24
